,289,9134,Politeknik Pariwisata Batam,5865,6553,7212
,290,9194,Pangkalan Data Pendidikan Tinggi PDDikti,5946,6553,7212
,291,9201,Institut Keguruan dan Ilmu Pendidikan IKIP PGRI Jember,11308,4615,7212
,292,9222,Politeknik Negeri Samarinda,12392,3907,7212
,293,9222,Universitas Suryakancana,5990,6553,7212
,294,9249,Sekolah Tinggi Ilmu Kesehatan STIKES Bina Sehat Ppni Mojokerto,9811,5476,7212
,295,9263,Universitas Pendidikan Nasional Denpasar,12930,3625,7212
,296,9274,Institut Parahikma Indonesia IPI,6073,6553,7212
,297,9309,Universitas Serambi Mekkah,6132,6553,7212
,298,9309,Politeknik Negeri Bandung,6132,6553,7212
,299,9309,Institut Agama Islam Negeri IAIN Palopo,13029,3629,7212
,300,9329,Sekolah Tinggi Filsafat Islam STFI Sadra,6163,6553,7212
